,time,season,week_day,inversion_high200,inversion_high400,inversion_high600
0,0,1,3,1.0,0.0,0.0
1,0,1,3,1.0,0.0,1.0
2,0,1,3,1.0,0.0,0.0
3,0,1,3,0.0,1.0,0.0
4,0,1,3,1.0,0.0,0.0
5,0,1,3,1.0,0.0,0.0
6,0,1,3,1.0,0.0,1.0
7,0,1,3,1.0,0.0,0.0
8,0,1,3,0.0,1.0,0.0
9,0,1,3,1.0,0.0,0.0
10,0,1,3,1.0,0.0,0.0
11,0,1,3,1.0,0.0,1.0
12,0,1,3,1.0,0.0,0.0
13,0,1,3,0.0,1.0,0.0
14,0,1,3,1.0,0.0,0.0
15,0,1,3,1.0,0.0,0.0
16,0,1,3,1.0,0.0,1.0
17,0,1,3,1.0,0.0,0.0
18,0,1,3,0.0,1.0,0.0
19,0,1,3,1.0,0.0,0.0
20,0,1,3,1.0,0.0,0.0
21,0,1,3,1.0,0.0,1.0
22,0,1,3,1.0,0.0,0.0
23,0,1,3,0.0,1.0,0.0
24,0,1,3,1.0,0.0,0.0
25,0,1,3,1.0,0.0,0.0
26,0,1,3,1.0,0.0,1.0
27,0,1,3,1.0,0.0,0.0
28,0,1,3,0.0,1.0,0.0
29,0,1,3,1.0,0.0,0.0
30,0,1,3,1.0,0.0,0.0
31,0,1,3,1.0,0.0,1.0
32,0,1,3,1.0,0.0,0.0
33,0,1,3,0.0,1.0,0.0
34,0,1,3,1.0,0.0,0.0
35,0,1,3,1.0,0.0,0.0
36,0,1,3,1.0,0.0,1.0
37,0,1,3,1.0,0.0,0.0
38,0,1,3,0.0,1.0,0.0
39,0,1,3,1.0,0.0,0.0
40,0,1,3,1.0,0.0,0.0
41,0,1,3,1.0,0.0,1.0
42,0,1,3,1.0,0.0,0.0
43,0,1,3,0.0,1.0,0.0
44,0,1,3,1.0,0.0,0.0
45,0,1,3,1.0,0.0,0.0
46,0,1,3,1.0,0.0,1.0
47,0,1,3,1.0,0.0,0.0
48,0,1,3,0.0,1.0,0.0
49,0,1,3,1.0,0.0,0.0
50,0,2,3,1.0,0.0,0.0
51,0,2,3,1.0,0.0,0.0
52,0,2,3,1.0,0.0,0.0
53,0,2,3,0.0,0.0,0.0
54,0,2,3,1.0,0.0,0.0
55,0,2,3,1.0,0.0,0.0
56,0,2,3,1.0,0.0,0.0
57,0,2,3,0.0,0.0,0.0
58,0,2,3,1.0,0.0,0.0
59,0,2,3,1.0,0.0,0.0
60,0,2,3,1.0,0.0,0.0
61,0,2,3,0.0,0.0,0.0
62,0,2,3,1.0,0.0,0.0
63,0,2,3,1.0,0.0,0.0
64,0,2,3,1.0,0.0,0.0
65,0,2,3,0.0,0.0,0.0
66,0,2,3,1.0,0.0,0.0
67,0,2,3,1.0,0.0,0.0
68,0,2,3,1.0,0.0,0.0
69,0,2,3,0.0,0.0,0.0
70,0,2,3,1.0,0.0,0.0
71,0,2,3,1.0,0.0,0.0
72,0,2,3,1.0,0.0,0.0
73,0,2,3,0.0,0.0,0.0
74,0,2,3,1.0,0.0,0.0
75,0,2,3,1.0,0.0,0.0
76,0,2,3,1.0,0.0,0.0
77,0,2,3,0.0,0.0,0.0
78,0,2,3,1.0,0.0,0.0
79,0,2,3,1.0,0.0,0.0
80,0,2,3,1.0,0.0,0.0
81,0,2,3,0.0,0.0,0.0
82,0,2,3,1.0,0.0,0.0
83,0,2,3,1.0,0.0,0.0
84,0,2,3,1.0,0.0,0.0
85,0,2,3,0.0,0.0,0.0
86,0,2,3,1.0,0.0,0.0
87,0,2,3,1.0,0.0,0.0
88,0,2,3,1.0,0.0,0.0
89,0,2,3,0.0,0.0,0.0
90,0,3,3,1.0,0.0,0.0
91,0,3,3,1.0,0.0,1.0
92,0,3,3,1.0,0.0,0.0
93,0,3,3,0.0,0.0,0.0
94,0,3,3,1.0,0.0,0.0
95,0,3,3,1.0,0.0,1.0
96,0,3,3,1.0,0.0,0.0
97,0,3,3,0.0,0.0,0.0
98,0,3,3,1.0,0.0,0.0
99,0,3,3,1.0,0.0,1.0
100,0,3,3,1.0,0.0,0.0
101,0,3,3,0.0,0.0,0.0
102,0,3,3,1.0,0.0,0.0
103,0,3,3,1.0,0.0,1.0
104,0,3,3,1.0,0.0,0.0
105,0,3,3,0.0,0.0,0.0
106,0,3,3,1.0,0.0,0.0
107,0,3,3,1.0,0.0,1.0
108,0,3,3,1.0,0.0,0.0
109,0,3,3,0.0,0.0,0.0
110,0,3,3,1.0,0.0,0.0
111,0,3,3,1.0,0.0,1.0
112,0,3,3,1.0,0.0,0.0
113,0,3,3,0.0,0.0,0.0
114,0,3,3,1.0,0.0,0.0
115,0,3,3,1.0,0.0,1.0
116,0,3,3,1.0,0.0,0.0
117,0,3,3,0.0,0.0,0.0
118,0,3,3,1.0,0.0,0.0
119,0,3,3,1.0,0.0,1.0
120,0,3,3,1.0,0.0,0.0
121,0,3,3,0.0,0.0,0.0
122,0,3,3,1.0,0.0,0.0
123,0,3,3,1.0,0.0,1.0
124,0,3,3,1.0,0.0,0.0
125,0,3,3,0.0,0.0,0.0
126,0,3,3,1.0,0.0,0.0
127,0,3,3,1.0,0.0,1.0
128,0,3,3,1.0,0.0,0.0
129,0,3,3,0.0,0.0,0.0
130,0,4,3,1.0,1.0,1.0
131,0,4,3,1.0,0.0,0.0
132,0,4,3,1.0,0.0,0.0
133,0,4,3,1.0,0.0,0.0
134,0,4,3,1.0,0.0,0.0
135,0,4,3,1.0,1.0,1.0
136,0,4,3,1.0,0.0,0.0
137,0,4,3,1.0,0.0,0.0
138,0,4,3,1.0,0.0,0.0
139,0,4,3,1.0,0.0,0.0
140,0,4,3,1.0,1.0,1.0
141,0,4,3,1.0,0.0,0.0
142,0,4,3,1.0,0.0,0.0
143,0,4,3,1.0,0.0,0.0
144,0,4,3,1.0,0.0,0.0
145,0,4,3,1.0,1.0,1.0
146,0,4,3,1.0,0.0,0.0
147,0,4,3,1.0,0.0,0.0
148,0,4,3,1.0,0.0,0.0
149,0,4,3,1.0,0.0,0.0
150,0,4,3,1.0,1.0,1.0
151,0,4,3,1.0,0.0,0.0
152,0,4,3,1.0,0.0,0.0
153,0,4,3,1.0,0.0,0.0
154,0,4,3,1.0,0.0,0.0
155,0,4,3,1.0,1.0,1.0
156,0,4,3,1.0,0.0,0.0
157,0,4,3,1.0,0.0,0.0
158,0,4,3,1.0,0.0,0.0
159,0,4,3,1.0,0.0,0.0
160,0,4,3,1.0,1.0,1.0
161,0,4,3,1.0,0.0,0.0
162,0,4,3,1.0,0.0,0.0
163,0,4,3,1.0,0.0,0.0
164,0,4,3,1.0,0.0,0.0
165,0,4,3,1.0,1.0,1.0
166,0,4,3,1.0,0.0,0.0
167,0,4,3,1.0,0.0,0.0
168,0,4,3,1.0,0.0,0.0
169,0,4,3,1.0,0.0,0.0
170,0,4,3,1.0,1.0,1.0
171,0,4,3,1.0,0.0,0.0
172,0,4,3,1.0,0.0,0.0
173,0,4,3,1.0,0.0,0.0
174,0,4,3,1.0,0.0,0.0
175,0,4,3,1.0,1.0,1.0
176,0,4,3,1.0,0.0,0.0
177,0,4,3,1.0,0.0,0.0
178,0,4,3,1.0,0.0,0.0
179,0,4,3,1.0,0.0,0.0
180,0,5,3,0.0,0.0,0.0
181,0,5,3,1.0,0.0,0.0
182,0,5,3,1.0,0.0,0.0
183,0,5,3,1.0,0.0,0.0
184,0,5,3,0.0,0.0,0.0
185,0,5,3,1.0,0.0,0.0
186,0,5,3,1.0,0.0,0.0
187,0,5,3,1.0,0.0,0.0
188,0,5,3,0.0,0.0,0.0
189,0,5,3,1.0,0.0,0.0
190,0,5,3,1.0,0.0,0.0
191,0,5,3,1.0,0.0,0.0
192,0,5,3,0.0,0.0,0.0
193,0,5,3,1.0,0.0,0.0
194,0,5,3,1.0,0.0,0.0
195,0,5,3,1.0,0.0,0.0
196,0,5,3,0.0,0.0,0.0
197,0,5,3,1.0,0.0,0.0
198,0,5,3,1.0,0.0,0.0
199,0,5,3,1.0,0.0,0.0
200,0,5,3,0.0,0.0,0.0
201,0,5,3,1.0,0.0,0.0
202,0,5,3,1.0,0.0,0.0
203,0,5,3,1.0,0.0,0.0
204,0,5,3,0.0,0.0,0.0
205,0,5,3,1.0,0.0,0.0
206,0,5,3,1.0,0.0,0.0
207,0,5,3,1.0,0.0,0.0
208,0,5,3,0.0,0.0,0.0
209,0,5,3,1.0,0.0,0.0
210,0,5,3,1.0,0.0,0.0
211,0,5,3,1.0,0.0,0.0
212,0,5,3,0.0,0.0,0.0
213,0,5,3,1.0,0.0,0.0
214,0,5,3,1.0,0.0,0.0
215,0,5,3,1.0,0.0,0.0
216,0,5,3,0.0,0.0,0.0
217,0,5,3,1.0,0.0,0.0
218,0,5,3,1.0,0.0,0.0
219,0,5,3,1.0,0.0,0.0
220,0,6,3,1.0,1.0,1.0
221,0,6,3,1.0,0.0,0.0
222,0,6,3,1.0,0.0,0.0
223,0,6,3,1.0,0.0,0.0
224,0,6,3,1.0,1.0,1.0
225,0,6,3,1.0,0.0,0.0
226,0,6,3,1.0,0.0,0.0
227,0,6,3,1.0,0.0,0.0
228,0,6,3,1.0,1.0,1.0
229,0,6,3,1.0,0.0,0.0
230,0,6,3,1.0,0.0,0.0
231,0,6,3,1.0,0.0,0.0
232,0,6,3,1.0,1.0,1.0
233,0,6,3,1.0,0.0,0.0
234,0,6,3,1.0,0.0,0.0
235,0,6,3,1.0,0.0,0.0
236,0,6,3,1.0,1.0,1.0
237,0,6,3,1.0,0.0,0.0
238,0,6,3,1.0,0.0,0.0
239,0,6,3,1.0,0.0,0.0
240,0,6,3,1.0,1.0,1.0
241,0,6,3,1.0,0.0,0.0
242,0,6,3,1.0,0.0,0.0
243,0,6,3,1.0,0.0,0.0
244,0,6,3,1.0,1.0,1.0
